Date,"California, US","Colorado, US","Massachusetts, US","Michigan, US","Nevada, US","Oregon, US","Washington, US",Market Category
1/1/2019,49363563,17936954,4292247,0,9983967,10324230,15072615,Vapor Pens
2/1/2019,48093412,17411014,5505567,0,9025278,9812320,14155493,Vapor Pens
3/1/2019,55120850,21414603,6621776,0,11422460,11704014,16431696,Vapor Pens
4/1/2019,64521817,20070888,6703233,0,10249382,11537132,16444980,Vapor Pens
5/1/2019,69368347,20942322,8759922,0,11085213,11819987,17345692,Vapor Pens
6/1/2019,69744832,23361819,10401432,0,11327553,12246622,17701230,Vapor Pens
7/1/2019,76314334,26965094,11828801,0,11063493,14074967,19176426,Vapor Pens
8/1/2019,80245369,28560004,13025689,0,11553806,14922111,20864917,Vapor Pens
9/1/2019,62792215,21044402,8163384,0,9981391,11039831,17254609,Vapor Pens
10/1/2019,73390804,18345312,0,0,9665395,10326702,15040716,Vapor Pens
11/1/2019,73605532,18204806,0,0,9852968,9223649,14133825,Vapor Pens
12/1/2019,75153240,19947317,1210622,0,9835994,9506744,13999125,Vapor Pens
1/1/2020,73951212,18955536,6373641,8408878,10388248,9322294,13611639,Vapor Pens
2/1/2020,74195548,19092015,8262246,10193889,9995186,9850245,13920459,Vapor Pens
3/1/2020,84170781,20046625,7594012,13241527,8287231,11519031,16381791,Vapor Pens
4/1/2020,80611191,16794696,0,14582688,8207418,11718395,16033077,Vapor Pens
5/1/2020,90377340,23809490,2189196,17824216,8295073,13420781,18373420,Vapor Pens
6/1/2020,91465639,25082224,8683291,19104122,9242349,13447044,18595896,Vapor Pens
7/1/2020,92357382,30319210,11450158,22482299,9598804,14606091,20350470,Vapor Pens
8/1/2020,88999950,28662264,13197540,19691866,9554412,14728410,20197904,Vapor Pens
9/1/2020,88371864,26718486,12988171,18587253,9224705,14327503,19892065,Vapor Pens
10/1/2020,92015661,25592269,13979055,19476984,9991164,15089399,20895847,Vapor Pens
11/1/2020,92050923,24452729,12231370,18011079,10242218,14419148,19256479,Vapor Pens
12/1/2020,93934148,25641955,13081104,18829131,10020730,15087882,19889161,Vapor Pens
1/1/2019,2729066,1950437,180468,0,828315,668623,1123437,Topicals
2/1/2019,2806998,1973685,236906,0,784819,561176,1013064,Topicals
3/1/2019,3079301,2310848,298161,0,1023110,774801,1275151,Topicals
4/1/2019,3536674,1812536,430968,0,912700,751754,1297377,Topicals
5/1/2019,3947632,1952725,371749,0,913472,769186,1328412,Topicals
6/1/2019,3538388,2207623,601932,0,870626,798501,1348115,Topicals
7/1/2019,3531874,2664335,540361,0,827771,980250,1425243,Topicals
8/1/2019,3781372,2730000,510788,0,771803,1043309,1474299,Topicals
9/1/2019,3389031,2346234,422976,0,782967,824690,1294680,Topicals
10/1/2019,3720252,1891511,353617,0,772828,774948,1248374,Topicals
11/1/2019,3661568,1663617,380812,0,757977,666452,1221855,Topicals
12/1/2019,3530017,1981058,414936,0,728404,721933,1314575,Topicals
1/1/2020,3049399,1684318,363367,393043,664033,589363,1031689,Topicals
2/1/2020,3337028,1800924,427613,585668,647939,641371,1009256,Topicals
3/1/2020,2799337,1464363,332460,575259,405190,599075,999698,Topicals
4/1/2020,2699000,850219,0,484063,222103,617378,963636,Topicals
5/1/2020,3660750,1365408,86405,651658,325366,754066,1115094,Topicals
6/1/2020,3423098,1783544,264727,721785,390920,744290,1008338,Topicals
7/1/2020,3450506,2235119,363336,782143,373234,796768,992923,Topicals
8/1/2020,3245167,2199021,367027,838195,363274,745807,903452,Topicals
9/1/2020,3137090,2141642,311920,696956,381250,715947,875356,Topicals
10/1/2020,3292080,1968967,312047,750096,415907,692762,906849,Topicals
11/1/2020,3220512,1580424,223039,668998,369136,644950,877760,Topicals
12/1/2020,3678629,1972454,262831,752237,307531,750140,1036708,Topicals
1/1/2019,5637784,1311632,522395,0,1303634,1581630,1715102,Tinctures-Sublinguals
2/1/2019,5404818,1302670,483073,0,1124483,1499203,1534413,Tinctures-Sublinguals
3/1/2019,6229398,1490035,769021,0,1401810,1842488,1809921,Tinctures-Sublinguals
4/1/2019,7230304,1186353,1148173,0,1160057,1800071,1835934,Tinctures-Sublinguals
5/1/2019,7705382,1309644,1267447,0,1070500,1877118,1856101,Tinctures-Sublinguals
6/1/2019,7413937,1387811,1201015,0,973546,2030563,1904545,Tinctures-Sublinguals
7/1/2019,7641778,1498775,952425,0,897305,2217952,1989130,Tinctures-Sublinguals
8/1/2019,8383794,1643072,1207784,0,965646,2403506,2099711,Tinctures-Sublinguals
