Year,Month,FIPS,Beverage,Gallons,Ethanol,Population,PerCapita,State,Month.1,Month - Year (Word),Month - Year (Numeric),Month - Year (Date)
2017,1,2,1,103645,42598,593378,0.0718,Alaska,January,January 2017,1 2017,2017-01-01
2017,1,5,1,402885,165586,2455022,0.0674,Arkansas,January,January 2017,1 2017,2017-01-01
2017,1,8,1,733857,301615,4634346,0.0651,Colorado,January,January 2017,1 2017,2017-01-01
2017,1,9,1,412100,169373,3015481,0.0562,Connecticut,January,January 2017,1 2017,2017-01-01
2017,1,10,1,180388,74139,799550,0.0927,Delaware,January,January 2017,1 2017,2017-01-01
2017,1,12,1,2770686,1138752,17722275,0.0643,Florida,January,January 2017,1 2017,2017-01-01
2017,1,17,1,1044642,429348,10556100,0.0407,Illinois,January,January 2017,1 2017,2017-01-01
2017,1,20,1,389012,159884,2356231,0.0679,Kansas,January,January 2017,1 2017,2017-01-01
2017,1,21,1,779156,320233,3670568,0.0872,Kentucky,January,January 2017,1 2017,2017-01-01
2017,1,22,1,633111,260209,3807282,0.0683,Louisiana,January,January 2017,1 2017,2017-01-01
2017,1,25,1,520076,213751,5815595,0.0368,Massachusetts,January,January 2017,1 2017,2017-01-01
2017,1,29,1,633870,260521,5037634,0.0517,Missouri,January,January 2017,1 2017,2017-01-01
2017,1,38,1,123893,50920,613251,0.083,North Dakota,January,January 2017,1 2017,2017-01-01
2017,1,47,1,1220401,501585,5545920,0.0904,Tennessee,January,January 2017,1 2017,2017-01-01
2017,1,48,1,4141099,1701992,22572383,0.0754,Texas,January,January 2017,1 2017,2017-01-01
2017,1,49,1,258897,106407,2376114,0.0448,Utah,January,January 2017,1 2017,2017-01-01
2017,1,51,1,807880,332039,7015247,0.0473,Virginia,January,January 2017,1 2017,2017-01-01
2017,1,55,1,1387718,570352,4805415,0.1187,Wisconsin,January,January 2017,1 2017,2017-01-01
2017,1,2,2,140499,18124,593378,0.0305,Alaska,January,January 2017,1 2017,2017-01-01
2017,1,5,2,451444,58236,2455022,0.0237,Arkansas,January,January 2017,1 2017,2017-01-01
2017,1,8,2,1146987,147961,4634346,0.0319,Colorado,January,January 2017,1 2017,2017-01-01
2017,1,9,2,794732,102520,3015481,0.034,Connecticut,January,January 2017,1 2017,2017-01-01
2017,1,10,2,253854,32747,799550,0.040999999999999995,Delaware,January,January 2017,1 2017,2017-01-01
2017,1,12,2,5987405,772375,17722275,0.0436,Florida,January,January 2017,1 2017,2017-01-01
2017,1,17,2,2113935,272698,10556100,0.0258,Illinois,January,January 2017,1 2017,2017-01-01
2017,1,21,2,736522,95011,3670568,0.0259,Kentucky,January,January 2017,1 2017,2017-01-01
2017,1,22,2,691735,89234,3807282,0.0234,Louisiana,January,January 2017,1 2017,2017-01-01
2017,1,25,2,1342858,173229,5815595,0.0298,Massachusetts,January,January 2017,1 2017,2017-01-01
2017,1,29,2,972384,125437,5037634,0.0249,Missouri,January,January 2017,1 2017,2017-01-01
2017,1,38,2,96753,12481,613251,0.0204,North Dakota,January,January 2017,1 2017,2017-01-01
2017,1,41,2,1476304,190443,3468412,0.0549,Oregon,January,January 2017,1 2017,2017-01-01
2017,1,47,2,1634857,210897,5545920,0.038,Tennessee,January,January 2017,1 2017,2017-01-01
2017,1,48,2,6021965,776833,22572383,0.0344,Texas,January,January 2017,1 2017,2017-01-01
2017,1,49,2,284999,36765,2376114,0.0155,Utah,January,January 2017,1 2017,2017-01-01
