week,weekending,Switch,PS4,Xbox 1,PS5,XboxXS,month,Switch,PS4,Xbox 1,PS5,XboxXS
1,4-Jan,140734,66076,58131,,,January,430118,196176,149249,,
2,11-Jan,106199,47115,31751,,,February,475769,247614,170003,,
3,18-Jan,94798,42145,30057,,,March,550541,153916,119480,,
4,25-Jan,88387,40840,29310,,,April,403756,243486,136264,,
5,1-Feb,88193,43714,27554,,,May,643116,316025,232599,,
6,8-Feb,104353,52610,34359,,,June,524822,321028,226565,,
7,15-Feb,95048,55090,36162,,,July,480225,253139,168773,,
8,22-Feb,92936,51546,35391,,,August,576530,225937,122239,,
9,Feb-29,95239,44654,36537,,,September,683601,211456,79737,,
10,7-Mar,85547,41354,32076,,,October,597861,205208,110229,,
11,14-Mar,81541,37817,29345,,,November,1638544,189393,170549,1624154,1150396
12,21-Mar,231156,34841,27810,,,December,2316530,240124,275228,629955,491481
13,28-Mar,152297,39904,30249,,,,,,,,
14,4-Apr,132523,47071,33096,,,,,,,,
15,11-Apr,92987,60234,28920,,,,,,,,
16,18-Apr,74938,73308,39363,,,,,,,,
17,25-Apr,103308,62873,34885,,,,,,,,
18,9-May,177213,109709,63075,,,,,,,,
19,16-May,196087,77922,66777,,,,,,,,
20,23-May,179752,73155,61623,,,,,,,,
21,30-May,90064,55239,41124,,,,,,,,
22,7-Jun,115281,57622,47335,,,,,,,,
23,13-Jun,139460,72524,62316,,,,,,,,
24,20-Jun,128421,106339,57448,,,,,,,,
25,27-Jun,141660,84543,59466,,,,,,,,
26,4-Jul,123628,69381,48764,,,,,,,,
27,11-Jul,118323,61047,45442,,,,,,,,
28,18-Jul,122296,66261,39861,,,,,,,,
29,25-Jul,115978,56450,34706,,,,,,,,
30,1-Aug,119087,50597,28204,,,,,,,,
31,8-Aug,116778,48162,23882,,,,,,,,
32,15-Aug,105882,39039,12220,,,,,,,,
33,22-Aug,114765,43664,43570,,,,,,,,
34,29-Aug,120018,44475,14363,,,,,,,,
35,5-Sep,129908,46357,13084,,,,,,,,
36,12-Sep,167320,57046,23918,,,,,,,,
37,19-Sep,209562,54822,21127,,,,,,,,
38,26-Sep,176811,53231,21608,,,,,,,,
39,3-Oct,166446,41354,18819,,,,,,,,
40,10-Oct,151873,42103,21515,,,,,,,,
41,17-Oct,144327,38259,20743,,,,,,,,
42,24-Oct,135215,38117,23808,,,,,,,,
43,31-Oct,166651,45375,25344,,,,,,,,
44,7-Nov,201614,52857,27718,,,,,,,,
45,14-Nov,303703,32946,34706,1259270,898208,,,,,,
46,21-Nov,326651,37001,37832,253092,150908,,,,,,
47,28-Nov,806576,66589,70293,111792,101280,,,,,,
48,5-Dec,549686,63944,71396,119910,98802,,,,,,
49,12-Dec,621997,57272,70526,172343,128169,,,,,,
50,19-Dec,677811,73456,82117,217619,160022,,,,,,
51,26-Dec,467036,45452,51189,120083,104488,,,,,,
