week,weekending,Spec Tested,% Pos,% positive,Positive,Total Pos Cases
10,7-Mar,8320,11.8,0.118,982,982
11,14-Mar,38482,9.5,0.095,3656,4638
12,21-Mar,89991,9,0.09,8099,12737
13,28-Mar,112188,13,0.13,14584,27321
14,4-Apr,663328,22,0.22,145932,173253
15,11-Apr,646815,21.7,0.217,140359,313612
16,18-Apr,653097,19,0.19,124088,437700
17,25-Apr,833675,15.7,0.157,130887,568587
18,9-May,1001273,12.8,0.128,128163,696750
19,16-May,1174914,10,0.1,117491,814241
20,23-May,1439164,7.8,0.078,112255,926496
21,30-May,1747441,6.9,0.069,120573,1047069
22,7-Jun,1739042,6.5,0.065,113038,1160107
23,13-Jun,1950416,5.7,0.057,111174,1271281
24,20-Jun,2151059,6.1,0.061,131215,1402496
25,27-Jun,2449773,8,0.08,195982,1598478
26,4-Jul,2905540,9.4,0.094,273121,1871599
27,11-Jul,2849960,9.7,0.097,276446,2148045
28,18-Jul,3153689,9.8,0.098,309062,2457107
29,25-Jul,3124419,8.9,0.089,278073,2735180
30,1-Aug,2812777,8.4,0.084,236273,2971453
31,8-Aug,2607645,7.4,0.074,192966,3164419
32,15-Aug,2509494,6.7,0.067,168136,3332555
33,22-Aug,2458618,6,0.06,147517,3480072
34,29-Aug,2442047,5.4,0.054,131871,3611943
35,5-Sep,2259571,5.6,0.056,126536,3738479
36,12-Sep,2295843,5.3,0.053,121680,3860159
37,19-Sep,2162389,5.1,0.051,110282,3970441
38,26-Sep,2504056,5,0.05,125203,4095644
39,3-Oct,2588511,5.2,0.052,134603,4230247
40,10-Oct,2620491,5.3,0.053,138886,4369133
41,17-Oct,2969836,5.7,0.057,169281,4538414
42,24-Oct,2893864,6.6,0.066,190995,4729409
43,31-Oct,3056338,7.3,0.073,223113,4952522
44,7-Nov,3226404,8.6,0.086,277471,5229993
45,14-Nov,3549079,10.9,0.109,386850,5616843
46,21-Nov,3932276,12,0.12,471873,6088716
47,28-Nov,4571819,10.7,0.107,489185,6577901
48,5-Dec,3413478,12.1,0.121,413031,6990932
49,12-Dec,3919223,13.5,0.135,529095,7520027
50,19-Dec,3786902,12.9,0.129,488510,8008537
51,26-Dec,3584228,12.4,0.124,444444,8452981
