Date,"Alberta, Canada","British Columbia, Canada","Ontario, Canada","Saskatchewan, Canada",Market Category
1/1/2019,0,0,0,0,Beverages
1/1/2019,0,0,0,0,Capsules
1/1/2019,0,0,0,0,Concentrates
1/1/2019,0,0,0,0,Edibles
1/1/2019,0,0,0,0,Flower
1/1/2019,0,0,0,0,Oil
1/1/2019,0,0,0,0,Pre-Rolls
1/1/2019,0,0,0,0,Topical
1/1/2019,0,0,0,0,Vapor Pens
1/1/2020,69208,33604,55919,4469,Beverages
1/1/2020,682682,528273,743056,162379,Capsules
1/1/2020,0,26525,0,91493,Concentrates
1/1/2020,1099423,601023,515069,166451,Edibles
1/1/2020,20861862,11850655,21699630,5506408,Flower
1/1/2020,1759611,1505034,1590291,544366,Oil
1/1/2020,8809844,3274863,3749076,1612519,Pre-Rolls
1/1/2020,0,0,0,0,Topical
1/1/2020,0,1960479,2675425,1319510,Vapor Pens
2/1/2019,0,0,0,0,Beverages
2/1/2019,0,0,0,0,Capsules
2/1/2019,0,0,0,0,Concentrates
2/1/2019,0,0,0,0,Edibles
2/1/2019,0,0,0,0,Flower
2/1/2019,0,0,0,0,Oil
2/1/2019,0,0,0,0,Pre-Rolls
2/1/2019,0,0,0,0,Topical
2/1/2019,0,0,0,0,Vapor Pens
2/1/2020,166128,48418,67009,262,Beverages
2/1/2020,701133,545365,843086,118839,Capsules
2/1/2020,170557,95994,43770,80161,Concentrates
2/1/2020,1022035,680095,920555,161298,Edibles
2/1/2020,18860489,11929730,21998362,4467772,Flower
2/1/2020,1815489,1614876,1512337,459969,Oil
2/1/2020,8591227,3690407,4057830,1418098,Pre-Rolls
2/1/2020,0,0,0,0,Topical
2/1/2020,2073693,2402819,4129100,1284355,Vapor Pens
3/1/2019,0,0,0,0,Beverages
3/1/2019,766305,0,0,170756,Capsules
3/1/2019,0,0,0,0,Concentrates
3/1/2019,0,0,0,0,Edibles
3/1/2019,11274762,0,0,3919424,Flower
3/1/2019,711363,0,0,305456,Oil
3/1/2019,1705495,0,0,662749,Pre-Rolls
3/1/2019,0,0,0,0,Topical
3/1/2019,0,0,0,0,Vapor Pens
3/1/2020,225919,37508,162164,31468,Beverages
3/1/2020,736322,609822,887554,168263,Capsules
3/1/2020,200166,88055,110159,38868,Concentrates
3/1/2020,1683497,831414,1552055,222068,Edibles
3/1/2020,21663756,14027958,23668136,4932123,Flower
3/1/2020,1934341,1758406,1567514,496678,Oil
3/1/2020,7835674,3573722,3909134,1435774,Pre-Rolls
3/1/2020,0,0,13017,374,Topical
3/1/2020,6011982,2768329,5119201,1479358,Vapor Pens
4/1/2019,0,0,0,0,Beverages
4/1/2019,675158,0,0,132896,Capsules
4/1/2019,0,0,0,0,Concentrates
4/1/2019,0,0,0,0,Edibles
4/1/2019,11217110,0,0,4421647,Flower
4/1/2019,687065,0,0,472479,Oil
4/1/2019,3270169,0,0,1018538,Pre-Rolls
4/1/2019,0,0,0,0,Topical
4/1/2019,0,0,0,0,Vapor Pens
4/1/2020,320238,108961,131543,56702,Beverages
4/1/2020,699751,556760,454179,165664,Capsules
4/1/2020,205420,201341,192785,115719,Concentrates
4/1/2020,1943506,824959,842516,302798,Edibles
4/1/2020,22836501,14209514,13121291,5466267,Flower
4/1/2020,1692602,1552183,874115,426129,Oil
4/1/2020,7647353,3341119,1822243,1567963,Pre-Rolls
4/1/2020,27585,17585,23371,1743,Topical
4/1/2020,6901934,3028833,2923757,1698788,Vapor Pens
5/1/2019,0,0,0,0,Beverages
5/1/2019,630849,0,0,142643,Capsules
5/1/2019,0,0,0,0,Concentrates
5/1/2019,0,0,0,0,Edibles
5/1/2019,12410785,0,0,4945136,Flower
5/1/2019,853437,0,0,521218,Oil
5/1/2019,3555268,0,0,1406163,Pre-Rolls
5/1/2019,0,0,0,0,Topical
5/1/2019,0,0,0,0,Vapor Pens
5/1/2020,389081,196432,219970,81773,Beverages
5/1/2020,646348,543848,495511,167790,Capsules
5/1/2020,842044,299880,402004,209205,Concentrates
5/1/2020,2017411,951762,934559,278026,Edibles
5/1/2020,24371744,15596546,17205106,5690729,Flower
5/1/2020,1579519,1730829,1033991,466688,Oil
5/1/2020,8891929,4473259,2846290,1933733,Pre-Rolls
5/1/2020,155608,49619,38722,2037,Topical
5/1/2020,7421998,3581190,3938279,1846840,Vapor Pens
6/1/2019,0,0,0,0,Beverages
