Date,"California, US","Colorado, US","Massachusetts, US","Michigan, US","Nevada, US","Oregon, US","Washington, US"
1/1/2019,156618887,99183566,15664778,0,48516751,54320813,84074162
2/1/2019,155040623,95313253,18126092,0,44081811,52317972,80159186
3/1/2019,179400427,114308645,24360968,0,55402225,60775880,90516711
4/1/2019,212038814,107929744,30785497,0,51224318,60479865,88246820
5/1/2019,229915345,113649257,36949195,0,52865534,63368985,91507222
6/1/2019,226879187,122366164,41332062,0,54790699,66033060,91692326
7/1/2019,248072712,135898286,45226878,0,53604450,73090718,97639753
8/1/2019,269996006,141862856,49471434,0,55610853,79735599,102540502
9/1/2019,247186474,126845782,45025846,0,53493519,70659605,94340005
10/1/2019,294893210,121243839,42668989,0,56080378,70266032,95783980
11/1/2019,295890636,114377401,45814805,0,56544589,69168369,96644055
12/1/2019,294895162,116431821,49758104,0,55785063,69158664,99718673
1/1/2020,286889391,111656482,51950521,35076606,56710452,69041207,96867864
2/1/2020,290490967,112064319,55297118,40534604,55576240,69858758,95511808
3/1/2020,331494543,128115183,50175060,52276007,50574385,84756691,114999998
4/1/2020,331295284,112005722,0,61661597,45755124,89317385,118500059
5/1/2020,379978958,148993666,13561492,84464652,50448220,103155157,129500010
6/1/2020,381084517,158098792,54795220,90290433,56084840,100125681,122999962
7/1/2020,407481779,183102463,73098676,109573441,65208029,106413509,130458109
8/1/2020,408200003,176563504,79571974,108810386,69835562,103813795,127671900
9/1/2020,406299251,166543994,79785681,103227672,68368340,97571227,123542190
10/1/2020,400998610,160996331,83592093,102981045,66000002,99072869,125275804
11/1/2020,387698787,153611859,76041445,91936369,62900000,89795778,116199983
12/1/2020,393999999,158592920,80250000,94150000,62750004,93873795,119950004
