weekending,Switch,PS4,Xbox 1,3ds,PS5,XboxXS
4-Jan,140734,66076,58131,2158,,
11-Jan,106199,47115,31751,1697,,
18-Jan,94798,42145,30057,1433,,
25-Jan,88387,40840,29310,1216,,
1-Feb,88193,43714,27554,1249,,
8-Feb,104353,52610,34359,1408,,
15-Feb,95048,55090,36162,1328,,
22-Feb,92936,51546,35391,1293,,
Feb-29,95239,44654,36537,1363,,
7-Mar,85547,41354,32076,1233,,
14-Mar,81541,37817,29345,1300,,
21-Mar,231156,34841,27810,1397,,
28-Mar,152297,39904,30249,1380,,
4-Apr,132523,47071,33096,1487,,
11-Apr,92987,60234,28920,1431,,
18-Apr,74938,73308,39363,1472,,
25-Apr,103308,62873,34885,1551,,
9-May,177213,109709,63075,5169,,
16-May,196087,77922,66777,4420,,
23-May,179752,73155,61623,4076,,
30-May,90064,55239,41124,4017,,
7-Jun,115281,57622,47335,3890,,
13-Jun,139460,72524,62316,4132,,
20-Jun,128421,106339,57448,4110,,
27-Jun,141660,84543,59466,3820,,
4-Jul,123628,69381,48764,3688,,
11-Jul,118323,61047,45442,3727,,
18-Jul,122296,66261,39861,3372,,
25-Jul,115978,56450,34706,3244,,
1-Aug,119087,50597,28204,3006,,
8-Aug,116778,48162,23882,2717,,
15-Aug,105882,39039,12220,1977,,
22-Aug,114765,43664,43570,1878,,
29-Aug,120018,44475,14363,1834,,
5-Sep,129908,46357,13084,1655,,
12-Sep,167320,57046,23918,1470,,
19-Sep,209562,54822,21127,5308,,
26-Sep,176811,53231,21608,3302,,
3-Oct,166446,41354,18819,1398,,
10-Oct,151873,42103,21515,1096,,
17-Oct,144327,38259,20743,1023,,
24-Oct,135215,38117,23808,1054,,
31-Oct,166651,45375,25344,1124,,
7-Nov,201614,52857,27718,933,,
14-Nov,303703,32946,34706,812,1259270,898208
21-Nov,326651,37001,37832,902,253092,150908
28-Nov,806576,66589,70293,2637,111792,101280
5-Dec,549686,63944,71396,2481,119910,98802
12-Dec,621997,57272,70526,2637,172343,128169
19-Dec,677811,73456,82117,2756,217619,160022
26-Dec,467036,45452,51189,1561,120083,104488
